2018-07-11-18:57:42.285715 12
2018-07-11-18:57:48.108187 train_net
2018-07-11-18:57:48.188978 target_net
2018-07-11-18:57:48.278601 10
2018-07-11-18:57:48.851464 updated agent
2018-07-11-18:57:48.853163 updated agent
2018-07-11-18:57:48.854842 updated agent
2018-07-11-18:57:48.857746 updated agent
2018-07-11-18:57:48.859869 updated agent
2018-07-11-18:57:48.861960 updated agent
2018-07-11-18:57:48.863726 updated agent
2018-07-11-18:57:48.865408 updated agent
2018-07-11-18:57:48.867093 updated agent
2018-07-11-18:57:48.868768 updated agent
2018-07-11-18:57:48.870453 updated agent
2018-07-11-18:57:48.872088 updated agent
2018-07-11-18:57:48.874068 updated agent
2018-07-11-18:57:48.875985 updated agent
2018-07-11-18:57:48.878232 updated agent
2018-07-11-18:57:48.880448 updated agent
2018-07-11-18:57:48.883619 updated agent
2018-07-11-18:57:48.885513 updated agent
2018-07-11-18:57:48.887380 updated agent
2018-07-11-18:57:48.889010 updated agent
2018-07-11-18:57:48.890621 updated agent
2018-07-11-18:57:48.892237 updated agent
2018-07-11-18:57:48.894004 updated agent
2018-07-11-18:57:48.895723 updated agent
2018-07-11-18:57:48.897436 updated agent
2018-07-11-18:57:48.899198 updated agent
2018-07-11-18:57:48.900878 updated agent
2018-07-11-18:57:48.902544 updated agent
2018-07-11-18:57:48.904209 updated agent
2018-07-11-18:57:48.905868 updated agent
2018-07-11-18:57:48.907693 updated agent
2018-07-11-18:57:48.909437 updated agent
2018-07-11-18:57:49.220470 updated agent
2018-07-11-18:57:49.306301 updated agent
2018-07-11-18:57:49.394331 updated agent
2018-07-11-18:57:49.485858 updated agent
2018-07-11-18:57:49.577794 updated agent
2018-07-11-18:57:49.661359 updated agent
2018-07-11-18:57:49.748267 updated agent
2018-07-11-18:57:49.843943 updated agent
2018-07-11-18:57:49.944887 updated agent
2018-07-11-18:57:50.032831 updated agent
2018-07-11-18:57:50.119401 updated agent
2018-07-11-18:57:50.204528 updated agent
2018-07-11-18:57:50.287104 updated agent
2018-07-11-18:57:50.372075 updated agent
2018-07-11-18:57:50.456837 updated agent
2018-07-11-18:57:50.545383 updated agent
2018-07-11-18:57:50.628043 updated agent
2018-07-11-18:57:50.710868 updated agent
2018-07-11-18:57:50.796163 updated agent
2018-07-11-18:57:50.880124 updated agent
2018-07-11-18:57:50.964821 updated agent
2018-07-11-18:57:51.054201 updated agent
2018-07-11-18:57:51.145897 updated agent
2018-07-11-18:57:51.233414 updated agent
2018-07-11-18:57:51.318123 updated agent
2018-07-11-18:57:51.410992 updated agent
2018-07-11-18:57:51.500574 updated agent
2018-07-11-18:57:51.594818 updated agent
2018-07-11-18:57:51.692010 updated agent
2018-07-11-18:57:51.787891 updated agent
2018-07-11-18:57:51.888791 updated agent
2018-07-11-18:57:51.992080 updated agent
2018-07-11-18:57:52.101233 updated agent
2018-07-11-18:57:52.222616 updated agent
2018-07-11-18:57:52.360333 updated agent
2018-07-11-18:57:52.455770 updated agent
2018-07-11-18:57:52.547958 updated agent
2018-07-11-18:57:52.636081 updated agent
2018-07-11-18:57:52.724372 updated agent
2018-07-11-18:57:52.815798 updated agent
2018-07-11-18:57:52.904508 updated agent
2018-07-11-18:57:52.997984 updated agent
2018-07-11-18:57:53.089857 updated agent
2018-07-11-18:57:53.224200 updated agent
2018-07-11-18:57:53.331362 updated agent
2018-07-11-18:57:53.443050 updated agent
2018-07-11-18:57:53.547954 updated agent
2018-07-11-18:57:53.649183 updated agent
2018-07-11-18:57:53.744230 updated agent
2018-07-11-18:57:53.835963 updated agent
2018-07-11-18:57:53.925659 updated agent
2018-07-11-18:57:54.019619 updated agent
2018-07-11-18:57:54.128672 updated agent
2018-07-11-18:57:54.238639 updated agent
2018-07-11-18:57:54.355272 updated agent
2018-07-11-18:57:54.453717 updated agent
2018-07-11-18:57:54.553196 updated agent
2018-07-11-18:57:54.650946 updated agent
