l,t
1000,15.119769811630249
2000,30.57656955718994
3000,48.95234274864197
4000,65.93587756156921
5000,81.62266159057617
6000,96.82237601280212
7000,113.0904266834259
8000,130.8859179019928
9000,153.59779167175293
10000,176.7383153438568
11000,194.61176228523254
12000,210.84876585006714
13000,226.72768330574036
14000,241.9566285610199
15000,256.79911279678345
16000,272.8615267276764
17000,291.940780878067
18000,309.76889729499817
19000,326.8634889125824
20000,342.0406484603882
